group,target,n,bias,mae,rmse,std
overall,valence,1737,0.04810096847754514,0.7444205653591529,0.9399080997137976,0.9389467964786026
overall,arousal,1737,-0.017180004638336088,0.4983082417606188,0.6307054808837611,0.6306530126783016
seen,valence,692,-0.0016341904471655286,0.7346536205944234,0.9392850162705706,0.9399630042283256
seen,arousal,692,0.08938672491470406,0.48545605719097584,0.6214055544565599,0.6153877915083077
unseen,valence,1045,0.08103563831094207,0.7508882455287154,0.940320478939219,0.9372707590559227
unseen,arousal,1045,-0.0877485949260909,0.5068189706813776,0.6367891562235382,0.6310163616284875
seen_own_id,valence,601,0.0484001642967049,0.73778857027774,0.9446176230726138,0.9441626683885563
seen_own_id,arousal,601,0.09754922944113315,0.4802508811007708,0.6191766339542036,0.611953395521328
seen_unknown,valence,91,-0.33208086298635375,0.7139491726859257,0.9032761724218968,0.8446718173574119
seen_unknown,arousal,91,0.03547831589949655,0.5198330992812311,0.6359300807064024,0.6384573461345455
is_words,valence,930,0.12268867545050158,0.698946069951059,0.8869610349110234,0.8789072692036155
is_words,arousal,930,-0.019815527877059355,0.47424675106541603,0.5942934731186275,0.5942826193858446
not_is_words,valence,807,-0.037855125060062646,0.7968261176881829,0.9974454501130271,0.9973449762149821
not_is_words,arousal,807,-0.014142784549101098,0.5260370972086219,0.6702182902313273,0.6704846015445023
