group,target,n,bias,mae,rmse,std
seen,valence,692,-0.07945161094792144,0.7294480625103965,0.9459114518617865,0.9432505717973757
seen,arousal,692,0.07630619778421659,0.4917399961867429,0.6227577583596483,0.6185122621389005
unseen,valence,1045,-0.006499789764828374,0.7416656731837318,0.9412288522344587,0.9416570708173128
unseen,arousal,1045,-0.09370531661427049,0.49974827458859206,0.6328330703888666,0.6261566875164638
seen_own_id,valence,601,-0.02658384535523649,0.7238861270692082,0.9432833322691709,0.9436940916825034
seen_own_id,arousal,601,0.08930071653912895,0.48889227917328004,0.6222410426738808,0.6163126744671347
seen_unknown,valence,91,-0.4286112496424671,0.766181284490113,0.9630885192570396,0.8672350842830092
seen_unknown,arousal,91,-0.009514744761962807,0.5105474459130194,0.6261596458063119,0.6295560059970347
is_words,valence,930,0.03471020892042146,0.7086952004751932,0.902744999437515,0.9025628346745438
is_words,arousal,930,-0.022905111764507588,0.4739398828507351,0.5970880981527947,0.5969696385206011
not_is_words,valence,807,-0.11654682698413785,0.7691848219234999,0.9875567770533575,0.981263666336102
not_is_words,arousal,807,-0.029512283834253694,0.5226232134512033,0.6635466908212808,0.6633011579379829
