group,target,n,bias,mae,rmse,std
overall,valence,1737,0.13547926851149883,0.7496059384718687,0.941793038526683,0.9322659771079265
overall,arousal,1737,0.014865787086443236,0.4910197761874897,0.6186623114804826,0.6186617903440829
seen,valence,692,-0.06463315834175537,0.7268393517497421,0.9398615594564476,0.9383147713515883
seen,arousal,692,0.09545302311916744,0.4722742403136039,0.6071774152423015,0.6000612229965118
unseen,valence,1045,0.26799390906886905,0.7646819939854684,0.9430698887123322,0.9046232272181012
unseen,arousal,1045,-0.03849915773139901,0.5034330879814887,0.6261516955937255,0.6252662497888932
seen_own_id,valence,601,-0.05446814565598568,0.7332345367023433,0.9537229538082126,0.9529594578044805
seen_own_id,arousal,601,0.0919337631474418,0.465639654915786,0.6035388333305348,0.596992729192815
seen_unknown,valence,91,-0.13176692344227825,0.6846030203594857,0.8426086952296035,0.8368528816401054
seen_unknown,arousal,91,0.11869560820715767,0.5160916669519393,0.630681134245281,0.6228427138474537
is_words,valence,930,0.18904107866247977,0.7119002442326277,0.8914632121783705,0.8716576762851479
is_words,arousal,930,0.023876635032275353,0.4730528286037346,0.5879878232816227,0.5878189563731246
not_is_words,valence,807,0.07375376238955053,0.7930585972605853,0.9966467115344455,0.9945303862456101
not_is_words,arousal,807,0.0044815385243318785,0.5117251804661666,0.6522253251654125,0.6526143996325634
