group,target,n,bias,mae,rmse,std
overall,valence,1737,-0.029826126678508456,0.739189764945867,0.9450631274031887,0.9448643757469092
overall,arousal,1737,0.025315961982276362,0.49482203433617183,0.6311646297864801,0.6308383294402506
seen,valence,692,-0.07661323344760246,0.7433257530876731,0.9548114951870675,0.9524212571050542
seen,arousal,692,0.1269142501603952,0.49524491392089476,0.6342179275912526,0.6218391629769242
unseen,valence,1045,0.0011563401963365705,0.7364509096404797,0.9385520257466295,0.9390007035822662
unseen,arousal,1045,-0.041962521672516205,0.4945420030704989,0.6291345778455524,0.6280341597643668
seen_own_id,valence,601,-0.02025462307203282,0.7357659869983841,0.953828482473931,0.9544077509620492
seen_own_id,arousal,601,0.1284976901219981,0.49257836262920185,0.6326403176410736,0.6199690734196935
seen_unknown,valence,91,-0.4488277920818591,0.793253439018032,0.9612784575997753,0.8547741718341603
seen_unknown,arousal,91,0.11645658623816056,0.5128558735506465,0.6445401296364487,0.6374441643805248
is_words,valence,930,0.03059518010385575,0.6905538434843703,0.8784640157047215,0.8784034559008411
is_words,arousal,930,0.03350069854979313,0.46486003972059214,0.5892176666284473,0.5885810604573068
not_is_words,valence,807,-0.09945662891840772,0.7952385963698967,1.0164151961703887,1.0121648675434973
not_is_words,arousal,807,0.015883737685138077,0.5293507270158362,0.6762858251724414,0.6765185573800091
